word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
put:V,17,91,0,935,16,116,955,
rain:N,2,386,30,-1,-1,-1,387,
rain:V,3,381,29,-1,-1,-1,578,
read:V,3,176,9,-1,-1,-1,768,
really:ADV,8,22,0,-1,-1,-1,992,
recognise:V,1,504,45,-1,-1,-1,504,
red:ADJ,3,534,54,-1,-1,-1,877,
red:N,5,61,0,524,4,50,575,
remember:V,1,552,58,-1,-1,-1,552,
right:ADJ,1,399,30,-1,-1,-1,399,
right:ADV,12,12,0,460,6,39,969,
right:OTH,11,541,55,805,4,101,996,
roof:N,3,587,62,-1,-1,-1,607,
room:N,2,441,37,-1,-1,-1,448,
round:V,1,469,43,-1,-1,-1,469,
rub:V,4,69,0,-1,-1,-1,585,
run:V,2,775,95,-1,-1,-1,903,
sad:ADJ,1,158,8,-1,-1,-1,158,
sandwich:N,1,845,103,-1,-1,-1,845,
sausage:N,2,616,68,-1,-1,-1,617,
say:V,10,33,0,761,7,92,979,
seat:N,1,229,14,-1,-1,-1,229,
see:V,14,93,0,292,6,20,720,
shall:AUX,39,6,0,403,17,30,957,
she:N,11,21,0,981,7,121,987,
sheep:N,1,880,107,-1,-1,-1,880,
shop:N,10,209,11,-1,-1,-1,954,
shop:V,1,239,15,-1,-1,-1,239,
short:ADJ,1,776,96,-1,-1,-1,776,
show:V,2,501,45,792,2,99,792,
shut:V,3,603,66,-1,-1,-1,614,
sing:V,1,416,31,-1,-1,-1,416,
sir:N,1,804,101,-1,-1,-1,804,
sit:V,2,95,0,-1,-1,-1,348,
skull:N,1,752,91,-1,-1,-1,752,
snail:N,1,621,71,-1,-1,-1,621,
sneeze:V,1,706,87,-1,-1,-1,706,
snout:N,1,421,31,-1,-1,-1,421,
snow:N,3,554,58,-1,-1,-1,649,
snowman:N,5,557,58,-1,-1,-1,747,
so:ADV,1,628,71,-1,-1,-1,628,
so:CONJ,2,826,102,-1,-1,-1,843,
so:OTH,1,599,66,-1,-1,-1,599,
some:DET,19,26,0,509,6,47,964,
something:N,2,14,0,-1,-1,-1,160,
song:N,2,414,31,-1,-1,-1,416,
sort:V,1,533,54,-1,-1,-1,533,
space:N,1,549,58,-1,-1,-1,549,
speak:V,1,662,79,-1,-1,-1,662,
spider:N,10,195,10,377,5,28,517,
splash:N,1,831,102,-1,-1,-1,831,
spoil:V,1,465,42,-1,-1,-1,465,
spoon:N,3,972,120,979,3,120,979,
spot:N,1,914,114,-1,-1,-1,914,
squash:V,2,888,109,-1,-1,-1,889,
squeak:N,4,169,8,-1,-1,-1,173,
stair:N,3,18,0,-1,-1,-1,808,
stand:V,1,830,102,-1,-1,-1,830,
star:N,12,404,31,440,6,35,487,
starfish:N,15,459,38,470,5,43,646,
start:V,1,491,44,-1,-1,-1,491,
stay:N,1,229,14,-1,-1,-1,229,
steer:V,1,217,11,-1,-1,-1,217,
step:N,1,436,35,-1,-1,-1,436,
step:V,1,436,35,-1,-1,-1,436,
stick:N,1,558,58,-1,-1,-1,558,
stick:V,5,219,11,-1,-1,-1,957,
storm:N,1,399,30,-1,-1,-1,399,
story:N,4,553,58,-1,-1,-1,819,
strong:ADJ,1,564,60,-1,-1,-1,564,
struggle:V,1,120,4,-1,-1,-1,120,
stuff:N,1,954,119,-1,-1,-1,954,
sun:N,6,388,30,466,6,42,466,
suppose:V,1,939,117,-1,-1,-1,939,
sure:ADJ,2,902,112,-1,-1,-1,924,
surprise:N,1,185,9,-1,-1,-1,185,
sweetheart:N,1,763,94,-1,-1,-1,763,
swim:V,1,806,102,-1,-1,-1,806,
table:N,1,898,110,-1,-1,-1,898,
tail:N,1,748,91,-1,-1,-1,748,
take:V,5,362,26,913,5,112,913,
talk:V,6,109,4,-1,-1,-1,283,
tape:V,1,551,58,-1,-1,-1,551,
tea:N,1,940,117,-1,-1,-1,940,
teddy:N,2,431,34,-1,-1,-1,435,
telephone:N,1,141,8,-1,-1,-1,141,
tell:V,7,149,8,-1,-1,-1,826,
than:PREP,1,469,43,-1,-1,-1,469,
that:DET,6,114,4,-1,-1,-1,911,
that:N,141,1,0,97,17,0,996,
the:DET,88,2,0,202,16,10,957,
them:N,7,126,5,542,4,55,719,
then:ADV,27,13,0,364,8,26,973,
then:CONJ,4,95,0,-1,-1,-1,904,
there:ADV,42,31,0,173,8,8,974,
there:N,8,110,4,646,5,72,854,
these:DET,2,390,30,-1,-1,-1,596,
these:N,1,681,82,-1,-1,-1,681,
they:N,22,53,0,253,8,15,874,
thing:N,1,628,71,-1,-1,-1,628,
think:V,12,82,0,964,12,119,964,
this:DET,16,22,0,531,8,53,818,
those:DET,3,623,71,731,3,90,731,
those:N,3,21,0,-1,-1,-1,744,
though:ADV,2,488,44,-1,-1,-1,842,
throw:V,2,40,0,-1,-1,-1,810,
thunder:N,1,399,30,-1,-1,-1,399,
tickle:V,2,428,34,-1,-1,-1,429,
time:N,2,102,1,-1,-1,-1,509,
time:V,1,631,71,-1,-1,-1,631,
tissue:N,2,11,0,-1,-1,-1,879,
to:INF,66,5,0,369,32,27,971,
to:PREP,15,95,0,-1,-1,-1,839,
toast:N,1,964,120,-1,-1,-1,964,
today:ADV,1,152,8,-1,-1,-1,152,
toe:N,1,318,22,-1,-1,-1,318,
