time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
608,328,66,0.291602602822,-1,0.441900647228,0.837466430037,0.404437667744,0.414269352903,0.521798100991
609,329,66,0.536271906345,-1,0.443152082869,0.837466430037,0.407412404864,0.414269352903,0.521798100991
610,329,66,-1,-1,0.443155599051,0.837483957675,0.407436494306,0.414299551908,0.521748135664
611,329,67,-1,-1,0.443751895972,0.835916340294,0.408735710775,0.414299551908,0.521748135664
612,329,68,-1,-1,0.444578163762,0.836576331943,0.410535989603,0.414299551908,0.521748135664
613,330,68,0.237345309154,-1,0.444614121286,0.836916313498,0.410685419001,0.414369424307,0.521927779508
614,330,68,-1,-1,0.445020102163,0.837181159498,0.411006904347,0.415402648332,0.521952779454
615,331,68,0.36808428747,-1,0.444878143494,0.837621563841,0.410928151208,0.415402648332,0.521943331582
616,332,68,-1,-1,0.444972247524,0.837621563841,0.411351479326,0.415402648332,0.521943331582
617,335,68,0.315193402033,0.315193402033,0.444502031251,0.837527220914,0.410954427894,0.413635417894,0.523416539472
618,335,71,-1,-1,0.44597319825,0.835482554698,0.410954427894,0.413990041088,0.528152421778
619,335,71,-1,-1,0.446079455699,0.835866714018,0.411035227571,0.414088465736,0.528305677894
620,335,71,-1,-1,0.446113605789,0.836027844721,0.411032074674,0.414235776005,0.528305677894
621,336,71,0.270637129899,-1,0.445634526336,0.836232151479,0.410144801028,0.414262955642,0.528420078373
622,336,71,-1,-1,0.445682582049,0.836459570064,0.410247646375,0.414262955642,0.528420078373
623,338,71,-1,-1,0.445362428557,0.836446955912,0.410247646375,0.414251898793,0.525692165692
624,338,71,-1,-1,0.445397025416,0.836611656454,0.410322128786,0.414251898793,0.525692165692
625,339,71,0.404171710546,-1,0.445295566781,0.836707865433,0.410285902111,0.414251720413,0.525756352517
626,339,71,-1,-1,0.446443554978,0.836929442638,0.410296957151,0.414424378255,0.529490712691
627,339,71,-1,-1,0.446561141409,0.837490876439,0.410296957151,0.414858278714,0.529537871318
