number of features per object,number of novel features for novel object,power,   forgetting,novelty,lambda,novel word,familiar object,scene,overlapping features, ratio-SUM,ratio-PROD
10,0,0.5,False,0.03,-1,ireland:N,snow:N,"set(['district#1', 'administrative district#1', 'european country#1', 'weather#1', 'atmospheric phenomenon#1', 'entity#1', 'country#2', 'location#1', 'precipitation#3', 'snow', 'region#3', 'physical entity#1', 'physical phenomenon#1', 'process#6', 'ireland', 'phenomenon#1', 'natural phenomenon#1', 'object#1'])","['entity#1', 'physical entity#1']",0.96701881105332876,0.65506821181431873
10,0,0.5,False,0.03,-1,iron:N,guitar:N,"set(['part#1', 'entity#1', 'artifact#1', 'matter#3', 'abstraction#6', 'whole#2', 'substance#1', 'guitar', 'physical entity#1', 'device#1', 'metallic element#1', 'object#1', 'iron', 'relation#1', 'instrumentality#3', 'chemical element#1', 'stringed instrument#1', 'musical instrument#1'])","['entity#1', 'physical entity#1']",1.13349273939818,4.5319838241704415
10,0,0.5,False,0.03,-1,jug:N,toe:N,"set(['bottle#1', 'object#1', 'container#1', 'external body part#1', 'part#3', 'artifact#1', 'jug', 'body part#1', 'whole#2', 'entity#1', 'vessel#3', 'physical entity#1', 'extremity#5', 'digit#3', 'extremity#1', 'instrumentality#3', 'thing#12', 'toe'])","['entity#1', 'physical entity#1']",0.85164797297137718,0.15579678302710548
10,0,0.5,False,0.03,-1,lantern:N,toe:N,"set(['object#1', 'lantern', 'external body part#1', 'part#3', 'artifact#1', 'body part#1', 'whole#2', 'entity#1', 'physical entity#1', 'device#1', 'source of illumination#1', 'lamp#1', 'extremity#5', 'digit#3', 'extremity#1', 'instrumentality#3', 'thing#12', 'toe'])","['entity#1', 'physical entity#1']",0.85578235532350433,0.16246682418342556
10,0,0.5,False,0.03,-1,length:N,walk:N,"set(['magnitude#1', 'attribute#2', 'measure#2', 'physical property#1', 'fundamental quantity#1', 'dimension#1', 'act#2', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'property#2', 'event#1', 'length', 'change#3', 'psychological feature#1', 'motion#6'])","['abstraction#6', 'entity#1']",0.9801384080931107,0.80687695779845314
10,0,0.5,False,0.03,-1,manchester:N,elephant:N,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])","['physical entity#1', 'object#1']",1.2373640070310399,8.2821063954106648
10,0,0.5,False,0.03,-1,manchester:N,hedgehog:N,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])","['physical entity#1', 'object#1']",1.2373640070310399,8.2821063954106648
10,0,0.5,False,0.03,-1,manchester:N,hedgehog:N,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])","['physical entity#1', 'object#1']",1.2373640070310399,8.2821063954106648
10,0,0.5,False,0.03,-1,marshmallow:N,bed:N,"set(['sweet#3', 'food#1', 'furnishing#2', 'marshmallow', 'bedroom furniture#1', 'artifact#1', 'matter#3', 'substance#7', 'candy#1', 'whole#2', 'bed', 'entity#1', 'physical entity#1', 'object#1', 'dainty#1', 'furniture#1', 'instrumentality#3', 'nutriment#1'])","['entity#1', 'physical entity#1']",1.1561411535387625,5.5552463559034306
10,0,0.5,False,0.03,-1,meadow:N,spoon:N,"set(['meadow', 'biome#1', 'geographical area#1', 'location#1', 'artifact#1', 'tract#1', 'grassland#1', 'tableware#1', 'whole#2', 'region#3', 'ware#1', 'article#2', 'physical entity#1', 'spoon', 'object#1', 'container#1', 'instrumentality#3', 'community#6'])","['physical entity#1', 'object#1']",1.1733564067499562,5.8496793584292046
