word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
want:V,48,8,4,228,15,79,972,
wash:V,1,833,233,-1,-1,-1,833,
watch:V,2,1,0,-1,-1,-1,95,
way:N,1,21,13,-1,-1,-1,21,
we:N,66,5,2,6,2,2,993,
wear:V,1,548,163,-1,-1,-1,548,
wed:V,1,2,0,-1,-1,-1,2,
wee:ADJ,2,901,243,901,1,243,905,
well:OTH,11,129,55,418,3,124,935,
were:AUX,3,114,53,-1,-1,-1,868,
what:N,132,8,4,13,2,8,994,
wheel:N,2,212,77,-1,-1,-1,519,
when:CONJ,4,95,45,497,3,152,553,
where:ADV,21,53,30,74,2,38,949,
whisker:N,1,755,213,-1,-1,-1,755,
white:ADJ,3,543,162,-1,-1,-1,546,
white:N,4,393,114,393,1,114,709,
who:N,22,41,24,41,1,24,336,
why:ADV,4,164,62,626,2,186,810,
will:AUX,4,207,76,993,4,260,993,
will:V,12,69,35,495,2,149,978,
window:N,4,590,173,590,1,173,605,
wipe:V,3,454,137,458,2,139,495,
with:PREP,23,13,9,36,4,20,971,
wonder:V,3,407,120,873,3,239,873,
wool:N,1,802,223,-1,-1,-1,802,
work:V,2,496,151,-1,-1,-1,497,
worm:N,2,192,72,192,1,72,197,
would:AUX,1,349,106,349,1,106,349,
would:V,3,147,58,964,3,254,964,
wow:OTH,4,38,21,38,1,21,338,
yeah:OTH,56,15,9,15,1,9,990,
yellow:N,9,64,33,65,2,33,865,
yes:OTH,10,3,0,3,1,0,838,
yet:ADV,1,440,133,-1,-1,-1,440,
you:N,200,1,0,11,3,6,986,
your:DET,36,157,61,215,3,77,962,

