time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
679,357,194,-1,-1,0.703531437803,0.865273840588,0.693876798466,0.663929519699,0.750660395225
680,357,195,-1,-1,0.70470141567,0.864853647828,0.696353132753,0.663926875737,0.750678300285
681,358,196,0.730774164036,-1,0.704770028389,0.864161867835,0.696555507684,0.663927334559,0.750665650113
682,359,197,-1,-1,0.704862368601,0.863521047005,0.69658020027,0.663927334559,0.750506041311
683,359,197,-1,-1,0.705365410927,0.863521082724,0.697639577686,0.663979376749,0.750479492894
684,359,198,-1,-1,0.70631337557,0.86390081681,0.697832455601,0.664007483158,0.75336026649
685,359,198,-1,-1,0.706314035498,0.863902013344,0.697832455601,0.664007483158,0.753362501526
686,359,198,-1,-1,0.706386454222,0.864033318002,0.697974151043,0.664007970836,0.753381471598
687,359,198,-1,-1,0.706386837736,0.864034013363,0.697975602173,0.664006690364,0.753381471598
688,359,198,-1,-1,0.706386949494,0.864034215995,0.697975602173,0.664006690364,0.753381850099
689,360,198,0.61977339328,-1,0.706144763314,0.864031319688,0.69750907938,0.66401281894,0.753382023654
690,360,198,-1,-1,0.706171744843,0.864080377014,0.69750789246,0.664016644497,0.753472531014
691,360,198,-1,-1,0.706168647795,0.864038212969,0.697484822564,0.664087876481,0.753442563641
692,360,198,-1,-1,0.706168348471,0.864037668743,0.697481792911,0.664092725103,0.753442563641
693,360,198,-1,-1,0.706169672763,0.864040076548,0.697483149638,0.664222198231,0.75334228401
694,360,198,-1,-1,0.706189815855,0.864076700351,0.697483149638,0.664218088922,0.753413950943
695,360,198,-1,-1,0.70618808763,0.864073558123,0.697485071478,0.664216808849,0.753406013699
696,361,198,0.535007492244,-1,0.705715972832,0.864077331625,0.696535761735,0.664215408729,0.753412798137
697,361,198,-1,-1,0.70577300236,0.864181309704,0.696671569625,0.664184033854,0.753412798137
698,361,198,-1,-1,0.705798558447,0.864227904388,0.696803421173,0.664025452098,0.753412798137
699,361,199,-1,-1,0.706409476948,0.864184683629,0.698029663981,0.664025452098,0.753515194917
700,361,199,-1,-1,0.706452324981,0.864262412975,0.698032030811,0.664028419845,0.753654950778
701,361,199,-1,-1,0.706559090825,0.864456093727,0.698271715811,0.66403598765,0.753625900203
702,361,199,-1,-1,0.706557879519,0.864453896334,0.698271715811,0.66403598765,0.753621774908
703,362,199,-1,-1,0.706377429351,0.864453896334,0.697940106524,0.66403598765,0.753621774908
704,362,200,-1,-1,0.706841491792,0.864177754463,0.698907899613,0.66403536151,0.753636706871
705,363,200,0.665214242007,-1,0.706726965756,0.864178025957,0.698713177003,0.664034199811,0.753638077017
706,364,201,-1,-1,0.707201784679,0.863895357856,0.698709556508,0.666574733629,0.75364003763
707,365,201,-1,-1,0.706728226495,0.864205754754,0.698713791423,0.664311809648,0.754221708725
708,365,201,-1,-1,0.706741840805,0.864230477256,0.698713670627,0.664317891066,0.754263851355
709,365,201,-1,-1,0.706910015932,0.8645358699,0.698686235974,0.664318258553,0.754887422229
710,366,201,0.466963656518,-1,0.706239615694,0.864508904091,0.697353640071,0.664346386664,0.754814874705
711,367,201,-1,-1,0.705709430588,0.864504422552,0.696297690534,0.664345772725,0.754806874793
712,367,201,-1,-1,0.705710941656,0.864507181566,0.696297690534,0.664345772725,0.754812106508
713,367,202,-1,-1,0.706381763673,0.863983651714,0.697680637222,0.66439004343,0.754815585086
714,367,202,-1,-1,0.70638152634,0.863983220519,0.697680637222,0.66439004343,0.754814763375
715,367,202,-1,-1,0.706380622591,0.863981578559,0.697680637222,0.66439004343,0.754811634358
716,367,202,-1,-1,0.706384089366,0.863987877107,0.697678516192,0.664408639424,0.754812051637
717,368,203,0.588468309599,-1,0.706761096564,0.863736716093,0.697061207235,0.664408639424,0.757228000676
718,368,204,-1,-1,0.707407951854,0.863292174539,0.698414240999,0.664408639424,0.75722714034
719,369,204,-1,-1,0.707401034584,0.863460857822,0.698462845036,0.664501325145,0.757451941016
720,369,204,-1,-1,0.707405632876,0.86346917532,0.698468150218,0.664504044813,0.757456907492
721,369,204,-1,-1,0.707405401516,0.863468756831,0.698468150218,0.664504044813,0.757456102098
